GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,NAME,AT5AA,AT5AB,AL8AA,AL8AB,AL8AC,AL8AD,AL8AE,AL8AF,AL8AG,AL8AH,AJ6AA,AJ6AB,AJ6AC,AJ6AD,AJ6AE,AJ6AF,AJ6AG,AJ6AH,AJ6AI,AJ6AJ,AJ6AK,AJ6AL,AJ6AM,AJ6AN,AJ6AO,AJ6AP,AJ6AQ,AJ6AR,AJ6AS,AJ6AT,AJ6AU,AJ6AV,AJ6AW,AJ6AX,AJ6AY,AJ6AZ,AJ6BA,AJ6BB,AJ6BC,AJ6BD,AT5AAM,AT5ABM,AL8AAM,AL8ABM,AL8ACM,AL8ADM,AL8AEM,AL8AFM,AL8AGM,AJ6AAM,AJ6ABM,AJ6ACM,AJ6ADM,AJ6AEM,AJ6AFM,AJ6AGM,AJ6AHM,AJ6AIM,AJ6AJM,AJ6AKM,AJ6ALM,AJ6AMM,AJ6ANM,AJ6AOM,AJ6APM,AJ6AQM,AJ6ARM,AJ6ASM,AJ6ATM,AJ6AUM,AJ6AVM,AJ6AWM,AJ6AXM,AJ6AYM,AJ6AZM,AJ6BAM,AJ6BBM,AJ6BCM
"G0101250","1970","Alabama","01","Tuscaloosa","125","Tuscaloosa",115579,450,94617,14998,1238,2321,10586,853,305,5569,0,0,0,0,44,0,17,116,8,0,24,8,0,0,0,0,14,0,30,0,30,0,6,35,8,20,0,11,72,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0101270","1970","Alabama","01","Walker","127","Walker",56202,44,49679,4517,213,1261,2826,217,108,1878,0,0,0,0,5,0,7,21,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0101290","1970","Alabama","01","Washington","129","Washington",16213,28,14519,1277,48,139,1043,47,0,406,0,0,10,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0101310","1970","Alabama","01","Wilcox","131","Wilcox",16303,0,15194,649,75,84,453,37,14,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0101330","1970","Alabama","01","Winston","133","Winston",16647,7,14393,1339,31,240,1012,56,0,912,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0200100","1970","Alaska","02","Aleutian Islands","010","Aleutian Islands",7870,187,2113,5250,1012,1610,1413,1215,185,342,8,6,9,0,13,5,0,0,0,0,0,0,0,6,0,0,0,0,10,0,0,12,77,13,0,0,0,21,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0200200","1970","Alaska","02","Anchorage","020","Anchorage",121152,3390,24255,85766,9782,22788,25338,27858,2734,8182,27,34,91,59,366,38,137,467,35,6,38,37,5,69,5,6,37,11,115,21,14,274,420,22,36,31,128,590,142,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0200300","1970","Alaska","02","Angoon","030","Angoon",476,5,406,41,4,18,4,15,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0200400","1970","Alaska","02","Barrow","040","Barrow",2665,20,2334,235,59,39,37,100,49,66,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0200500","1970","Alaska","02","Bethel","050","Bethel",7573,6,6689,629,82,263,96,188,26,231,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0200600","1970","Alaska","02","Bristol Bay Borough","060","Bristol Bay Borough",902,42,313,657,90,193,206,168,12,33,0,13,13,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0200700","1970","Alaska","02","Dillingham (Bristol Bay)","070","Bristol Bay Division",3668,20,3028,444,58,80,46,260,11,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0200800","1970","Alaska","02","Cordova-McCarthy","080","Cordova-Mc Carthy",1696,73,709,924,86,299,85,454,5,55,6,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,23,0,0,0,0,6,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0200900","1970","Alaska","02","Fairbanks North Star","090","Fairbanks",44631,1321,8441,32080,4155,9015,10029,8881,1051,3017,13,56,24,29,107,7,22,248,7,11,0,26,3,13,10,0,42,5,51,21,30,63,106,0,38,8,40,207,52,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
