"","long","lat","order","hole","piece","group","id"
"167",1748911.9276,467857.8266,167,FALSE,"1","42101000300.1","42101000300"
"168",1748909.5078,467866.3565,168,FALSE,"1","42101000300.1","42101000300"
"169",1748908.1787,467870.767,169,FALSE,"1","42101000300.1","42101000300"
"170",1748905.3508,467878.4025,170,FALSE,"1","42101000300.1","42101000300"
"171",1748901.7009,467887.0028,171,FALSE,"1","42101000300.1","42101000300"
"172",1748894.7516,467903.0187,172,FALSE,"1","42101000300.1","42101000300"
"173",1748885.5301,467923.0056,173,FALSE,"1","42101000300.1","42101000300"
"174",1748878.8583,467938.165,174,FALSE,"1","42101000300.1","42101000300"
"175",1748870.5859,467955.8378,175,FALSE,"1","42101000300.1","42101000300"
"176",1748865.1997,467966.0029,176,FALSE,"1","42101000300.1","42101000300"
"177",1748859.4872,467977.2434,177,FALSE,"1","42101000300.1","42101000300"
"178",1748853.3269,467990.106,178,FALSE,"1","42101000300.1","42101000300"
"179",1748850.8113,467995.1707,179,FALSE,"1","42101000300.1","42101000300"
"180",1748848.8454,467999.3247,180,FALSE,"1","42101000300.1","42101000300"
"181",1748846.4272,468003.9519,181,FALSE,"1","42101000300.1","42101000300"
"182",1748842.0638,468009.5235,182,FALSE,"1","42101000300.1","42101000300"
"183",1748838.7321,468012.7994,183,FALSE,"1","42101000300.1","42101000300"
"184",1748835.4778,468016.8961,184,FALSE,"1","42101000300.1","42101000300"
"185",1748830.8657,468024.3638,185,FALSE,"1","42101000300.1","42101000300"
"186",1748826.9053,468031.6322,186,FALSE,"1","42101000300.1","42101000300"
"187",1748825.8536,468035.1862,187,FALSE,"1","42101000300.1","42101000300"
"188",1748825.6972,468037.4472,188,FALSE,"1","42101000300.1","42101000300"
"189",1748821.6002,468045.7185,189,FALSE,"1","42101000300.1","42101000300"
"190",1748835.5585,468046.5306,190,FALSE,"1","42101000300.1","42101000300"
"191",1748910.6447,468050.9672,191,FALSE,"1","42101000300.1","42101000300"
"192",1748977.1794,468054.0742,192,FALSE,"1","42101000300.1","42101000300"
"193",1749002.3201,468055.3105,193,FALSE,"1","42101000300.1","42101000300"
"194",1749144.1119,468062.0915,194,FALSE,"1","42101000300.1","42101000300"
"195",1749245.8077,468067.4065,195,FALSE,"1","42101000300.1","42101000300"
"196",1749280.8182,468069.1199,196,FALSE,"1","42101000300.1","42101000300"
"197",1749335.1007,468072.7153,197,FALSE,"1","42101000300.1","42101000300"
"198",1749384.2541,468075.9721,198,FALSE,"1","42101000300.1","42101000300"
"199",1749426.3052,468076.8437,199,FALSE,"1","42101000300.1","42101000300"
"200",1749442.4611,468077.9168,200,FALSE,"1","42101000300.1","42101000300"
"201",1749450.0845,468078.3521,201,FALSE,"1","42101000300.1","42101000300"
"202",1749579.3471,468086.4827,202,FALSE,"1","42101000300.1","42101000300"
"203",1749714.1184,468094.8093,203,FALSE,"1","42101000300.1","42101000300"
"204",1749850.6307,468102.7226,204,FALSE,"1","42101000300.1","42101000300"
"205",1749860.6954,468102.3246,205,FALSE,"1","42101000300.1","42101000300"
"206",1749985.6949,468109.7414,206,FALSE,"1","42101000300.1","42101000300"
"207",1750117.1123,468117.5571,207,FALSE,"1","42101000300.1","42101000300"
"208",1750258.5406,468125.9986,208,FALSE,"1","42101000300.1","42101000300"
"209",1750263.5291,468126.192,209,FALSE,"1","42101000300.1","42101000300"
"210",1750269.8641,468126.5706,210,FALSE,"1","42101000300.1","42101000300"
"211",1750270.7121,468114.591,211,FALSE,"1","42101000300.1","42101000300"
"212",1750271.3586,468106.2401,212,FALSE,"1","42101000300.1","42101000300"
"213",1750279.9672,467945.3758,213,FALSE,"1","42101000300.1","42101000300"
"214",1750285.4888,467843.5182,214,FALSE,"1","42101000300.1","42101000300"
"215",1750291.0217,467738.1044,215,FALSE,"1","42101000300.1","42101000300"
"216",1749488.9868,467289.8824,216,FALSE,"1","42101000401.1","42101000401"
"217",1749430.7942,467286.6792,217,FALSE,"1","42101000401.1","42101000401"
"218",1749324.6349,467280.7145,218,FALSE,"1","42101000401.1","42101000401"
"219",1749257.4959,467276.7828,219,FALSE,"1","42101000401.1","42101000401"
"220",1749187.8574,467273.5577,220,FALSE,"1","42101000401.1","42101000401"
"221",1749089.7505,467267.6675,221,FALSE,"1","42101000401.1","42101000401"
"222",1749001.242,467262.3085,222,FALSE,"1","42101000401.1","42101000401"
"223",1748923.1531,467258.4668,223,FALSE,"1","42101000401.1","42101000401"
"224",1748890.3033,467256.7776,224,FALSE,"1","42101000401.1","42101000401"
"225",1748853.0434,467255.025,225,FALSE,"1","42101000401.1","42101000401"
"226",1748873.4601,467430.6118,226,FALSE,"1","42101000401.1","42101000401"
"227",1748877.2592,467531.2127,227,FALSE,"1","42101000401.1","42101000401"
"228",1748877.5907,467542.1918,228,FALSE,"1","42101000401.1","42101000401"
"229",1748877.1353,467550.4703,229,FALSE,"1","42101000401.1","42101000401"
"230",1748874.0272,467605.338,230,FALSE,"1","42101000401.1","42101000401"
"231",1748927.0166,467602.6727,231,FALSE,"1","42101000401.1","42101000401"
"232",1748949.3707,467596.1709,232,FALSE,"1","42101000401.1","42101000401"
"233",1749022.395,467587.2916,233,FALSE,"1","42101000401.1","42101000401"
"234",1749073.3034,467560.8609,234,FALSE,"1","42101000401.1","42101000401"
"235",1749071.4971,467591.5676,235,FALSE,"1","42101000401.1","42101000401"
"236",1749070.4356,467607.6319,236,FALSE,"1","42101000401.1","42101000401"
"237",1749067.1872,467669.3562,237,FALSE,"1","42101000401.1","42101000401"
"238",1749117.7041,467672.3405,238,FALSE,"1","42101000401.1","42101000401"
"239",1749165.1632,467674.6442,239,FALSE,"1","42101000401.1","42101000401"
"240",1749206.1215,467676.5335,240,FALSE,"1","42101000401.1","42101000401"
"241",1749302.2298,467683.5884,241,FALSE,"1","42101000401.1","42101000401"
"242",1749460.8127,467691.358,242,FALSE,"1","42101000401.1","42101000401"
"243",1749463.5141,467630.5446,243,FALSE,"1","42101000401.1","42101000401"
"244",1749465.094,467609.4299,244,FALSE,"1","42101000401.1","42101000401"
"245",1749467.416,467581.478,245,FALSE,"1","42101000401.1","42101000401"
"246",1749468.1494,467572.343,246,FALSE,"1","42101000401.1","42101000401"
"247",1749471.5119,467533.4877,247,FALSE,"1","42101000401.1","42101000401"
"248",1749477.8548,467461.7762,248,FALSE,"1","42101000401.1","42101000401"
"249",1749483.867,467389.9911,249,FALSE,"1","42101000401.1","42101000401"
"250",1749485.8085,467353.2301,250,FALSE,"1","42101000401.1","42101000401"
"251",1749486.3652,467347.6143,251,FALSE,"1","42101000401.1","42101000401"
"252",1749488.9868,467289.8824,252,FALSE,"1","42101000401.1","42101000401"
"253",1750291.0217,467738.1044,253,FALSE,"1","42101000402.1","42101000402"
"254",1750294.6839,467683.1289,254,FALSE,"1","42101000402.1","42101000402"
"255",1750297.5936,467616.7357,255,FALSE,"1","42101000402.1","42101000402"
"256",1750291.3408,467616.3755,256,FALSE,"1","42101000402.1","42101000402"
"257",1750269.057,467615.5426,257,FALSE,"1","42101000402.1","42101000402"
"258",1750247.2373,467619.6346,258,FALSE,"1","42101000402.1","42101000402"
"259",1750147.5029,467615.2046,259,FALSE,"1","42101000402.1","42101000402"
"260",1750159.1796,467499.336,260,FALSE,"1","42101000402.1","42101000402"
"261",1750160.2617,467466.0565,261,FALSE,"1","42101000402.1","42101000402"
"262",1750171.7284,467436.0092,262,FALSE,"1","42101000402.1","42101000402"
"263",1750179.845,467424.5012,263,FALSE,"1","42101000402.1","42101000402"
"264",1750191.9798,467418.7101,264,FALSE,"1","42101000402.1","42101000402"
"265",1750206.3644,467416.0606,265,FALSE,"1","42101000402.1","42101000402"
"266",1750222.1192,467415.4385,266,FALSE,"1","42101000402.1","42101000402"
"267",1750237.8687,467415.6187,267,FALSE,"1","42101000402.1","42101000402"
"268",1750252.7768,467416.0707,268,FALSE,"1","42101000402.1","42101000402"
"269",1750267.2134,467416.3029,269,FALSE,"1","42101000402.1","42101000402"
"270",1750281.7125,467417.8118,270,FALSE,"1","42101000402.1","42101000402"
"271",1750292.0334,467412.7646,271,FALSE,"1","42101000402.1","42101000402"
"272",1750296.4118,467408.6891,272,FALSE,"1","42101000402.1","42101000402"
"273",1750297.517,467406.0655,273,FALSE,"1","42101000402.1","42101000402"
"274",1750299.2269,467372.696,274,FALSE,"1","42101000402.1","42101000402"
"275",1750301.0308,467335.789,275,FALSE,"1","42101000402.1","42101000402"
"276",1750164.2474,467327.4663,276,FALSE,"1","42101000402.1","42101000402"
"277",1750028.4316,467319.4764,277,FALSE,"1","42101000402.1","42101000402"
"278",1749893.5052,467312.9497,278,FALSE,"1","42101000402.1","42101000402"
"279",1749759.3334,467304.9862,279,FALSE,"1","42101000402.1","42101000402"
"280",1749623.7759,467297.405,280,FALSE,"1","42101000402.1","42101000402"
"281",1749592.9486,467295.5894,281,FALSE,"1","42101000402.1","42101000402"
"282",1749556.0093,467293.5606,282,FALSE,"1","42101000402.1","42101000402"
"283",1749488.9868,467289.8824,283,FALSE,"1","42101000402.1","42101000402"
"284",1749486.3652,467347.6143,284,FALSE,"1","42101000402.1","42101000402"
"285",1749485.8085,467353.2301,285,FALSE,"1","42101000402.1","42101000402"
"286",1749483.867,467389.9911,286,FALSE,"1","42101000402.1","42101000402"
"287",1749477.8548,467461.7762,287,FALSE,"1","42101000402.1","42101000402"
"288",1749471.5119,467533.4877,288,FALSE,"1","42101000402.1","42101000402"
"289",1749468.1494,467572.343,289,FALSE,"1","42101000402.1","42101000402"
"290",1749467.416,467581.478,290,FALSE,"1","42101000402.1","42101000402"
"291",1749465.094,467609.4299,291,FALSE,"1","42101000402.1","42101000402"
"292",1749463.5141,467630.5446,292,FALSE,"1","42101000402.1","42101000402"
"293",1749460.8127,467691.358,293,FALSE,"1","42101000402.1","42101000402"
"294",1749602.2177,467698.7482,294,FALSE,"1","42101000402.1","42101000402"
"295",1749736.0862,467706.8726,295,FALSE,"1","42101000402.1","42101000402"
